artist,album,song,listen_date,genre
The 1975,A Brief Inquiry Into Online Relationships,Be My Mistake,"03 Dec 2018, 16:53",test
The 1975,A Brief Inquiry Into Online Relationships,Love It If We Made It,"03 Dec 2018, 16:49",test
The 1975,A Brief Inquiry Into Online Relationships,How To Draw / Petrichor,"03 Dec 2018, 16:43",test
The 1975,A Brief Inquiry Into Online Relationships,TOOTIMETOOTIMETOOTIME,"03 Dec 2018, 16:40",test
The 1975,A Brief Inquiry Into Online Relationships,Give Yourself A Try,"03 Dec 2018, 16:37",test
The 1975,A Brief Inquiry Into Online Relationships,The 1975,"03 Dec 2018, 16:35",test
The 1975,A Brief Inquiry Into Online Relationships,Sincerity Is Scary,"03 Dec 2018, 16:31",test
The 1975,A Brief Inquiry Into Online Relationships,Be My Mistake,"03 Dec 2018, 16:28",test
The 1975,A Brief Inquiry Into Online Relationships,Love It If We Made It,"03 Dec 2018, 16:23",test
The 1975,A Brief Inquiry Into Online Relationships,How To Draw / Petrichor,"03 Dec 2018, 16:17",test
The 1975,A Brief Inquiry Into Online Relationships,TOOTIMETOOTIMETOOTIME,"03 Dec 2018, 16:14",test
The 1975,A Brief Inquiry Into Online Relationships,Give Yourself A Try,"03 Dec 2018, 16:10",test
The 1975,A Brief Inquiry Into Online Relationships,The 1975,"03 Dec 2018, 16:09",test
Julien Baker,boygenius,Salt In The Wound,"03 Dec 2018, 15:50",test
Julien Baker,boygenius,"Ketchum, ID","03 Dec 2018, 14:45",test
Julien Baker,boygenius,Bite The Hand,"03 Dec 2018, 14:42",test
Julien Baker,boygenius,Me & My Dog,"03 Dec 2018, 14:39",test
Lucy Dacus,No Burden,...Familiar Place,"03 Dec 2018, 14:36",test
Snail Mail,Lush,Intro,"03 Dec 2018, 14:34",test
Snail Mail,Lush,Deep Sea,"03 Dec 2018, 14:29",test
Snail Mail,Lush,Stick,"03 Dec 2018, 14:24",test
Snail Mail,Lush,Golden Dream,"03 Dec 2018, 14:20",test
Snail Mail,Lush,Let's Find An Out,"03 Dec 2018, 14:18",test
Snail Mail,Lush,Full Control,"03 Dec 2018, 14:15",test
Snail Mail,Habit,Thinning,"03 Dec 2018, 14:12",test
Snail Mail,Lush,Heat Wave,"03 Dec 2018, 14:07",test
Snail Mail,Lush,Pristine,"03 Dec 2018, 14:02",test
Snail Mail,Lush,Speaking Terms,"03 Dec 2018, 13:58",test
Lo Tom,Lo Tom,Overboard,"03 Dec 2018, 13:54",test
Wallows,Spring EP,1980s Horror Film,"03 Dec 2018, 13:50",test
Trust Fund,"""don't let them begin""",we'll both apologise,"03 Dec 2018, 13:46",test
The Districts,Popular Manipulations,Violet,"03 Dec 2018, 13:42",test
ajj,Knife Man,Big Bird,"03 Dec 2018, 13:37",test
Twin Peaks,Sweet '17 Singles,Shake Your Lonely,"03 Dec 2018, 13:15",test
Weakened Friends,Common Blah,Hate Mail,"03 Dec 2018, 13:13",test
Bay Faction,Are You In The Mood?,Are You In The Mood?,"03 Dec 2018, 13:10",test
Spencer Radcliffe,Looking In,Mia,"03 Dec 2018, 13:08",test
The Weakerthans,Left and Leaving,Everything Must Go!,"03 Dec 2018, 13:03",test
(Sandy) Alex G,Trick,Forever,"03 Dec 2018, 13:00",test
Soccer Mommy,For Young Hearts,skinned knees,"03 Dec 2018, 12:55",test
Phoebe Bridgers,Have Yourself a Merry Little Christmas,Have Yourself a Merry Little Christmas,"02 Dec 2018, 23:26",test
The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,Christmas at 22,"02 Dec 2018, 23:23",test
Fall Out Boy,Believers Never Die - Greatest Hits,Yule Shoot Your Eye Out - Bonus Track,"02 Dec 2018, 23:20",test
Frightened Rabbit,It's Christmas So We'll Stop,It's Christmas So We'll Stop,"02 Dec 2018, 23:14",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"02 Dec 2018, 23:10",test
She & Him,A Very She & Him Christmas,The Christmas Waltz,"02 Dec 2018, 23:07",test
Death Cab for Cutie,Maybe this Christmas Tree,Christmas (Baby Please Come Home),"02 Dec 2018, 23:04",test
Phoebe Bridgers,Have Yourself a Merry Little Christmas,Have Yourself a Merry Little Christmas,"02 Dec 2018, 19:21",test
The Wonder Years,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,Christmas at 22,"02 Dec 2018, 19:18",test
Fall Out Boy,Believers Never Die - Greatest Hits,Yule Shoot Your Eye Out - Bonus Track,"02 Dec 2018, 19:12",test
Frightened Rabbit,It's Christmas So We'll Stop,It's Christmas So We'll Stop,"02 Dec 2018, 19:07",test
LCD Soundsystem,Christmas Will Break Your Heart,Christmas Will Break Your Heart,"02 Dec 2018, 19:02",test
She & Him,A Very She & Him Christmas,The Christmas Waltz,"02 Dec 2018, 19:00",test
